"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Greene, Riley",682985,"DET","SI","Sinker",-0.4,-1,"152",15.7,"36","0.242","0.364","0.324",13.8,22.2,19.5,"0.194","0.296","0.251",40
"Yelich, Christian",592885,"MIL","SL","Slider",-1.2,-2,"129",13.7,"36","0.229","0.343","0.285",38.1,44.4,31.4,"0.211","0.335","0.247",52.6
"Springer, George",543807,"TOR","SL","Slider",0.2,0,"155",18.6,"36","0.188","0.375","0.288",46.9,36.1,26,"0.245","0.502","0.358",47.4
"Olson, Matt",621566,"ATL","SI","Sinker",1.8,2,"142",13.1,"36","0.286","0.536","0.426",25,22.2,20,"0.321","0.518","0.433",70
"Langeliers, Shea",669127,"ATH","SL","Slider",-0.7,-1,"125",16,"36","0.235","0.441","0.31",25.4,11.1,11.8,"0.27","0.453","0.33",43.3
"Butler, Lawrence",671732,"ATH","CH","Changeup",-1.1,-1,"138",15,"36","0.182","0.303","0.249",38.3,19.4,19.4,"0.183","0.274","0.238",34.6
"Bader, Harrison",664056,"MIN","FF","4-Seam Fastball",0.9,1,"155",25.4,"36","0.31","0.414","0.415",18.5,25,21.4,"0.223","0.322","0.324",70
"Swanson, Dansby",621020,"CHC","SL","Slider",-0.5,-1,"211",22.2,"36","0.206","0.265","0.233",38.8,33.3,16.9,"0.19","0.237","0.213",27.3
"Realmuto, J.T.",592663,"PHI","SL","Slider",-0.4,-1,"150",19.1,"36","0.125","0.25","0.218",35.6,36.1,21.3,"0.177","0.292","0.255",42.1
"García, Adolis",666969,"TEX","SI","Sinker",2.1,4,"165",20,"36","0.387","0.806","0.514",18.2,11.1,16.7,"0.373","0.808","0.518",69
"Baldwin, Drake",686948,"ATL","FF","4-Seam Fastball",2.3,3,"130",29.4,"36","0.406","0.531","0.443",13.4,5.6,8,"0.315","0.446","0.367",63.3
"Wagaman, Eric",676572,"MIA","SI","Sinker",-1.7,-2,"121",15.5,"36","0.25","0.361","0.265",5.3,11.1,22.2,"0.326","0.56","0.376",65.6
"Volpe, Anthony",683011,"NYY","SI","Sinker",0.6,1,"170",17.7,"36","0.367","0.567","0.431",22.1,13.9,13.9,"0.357","0.56","0.424",57.7
"Malloy, Justyn-Henry",669234,"DET","FF","4-Seam Fastball",1.1,1,"113",23.4,"36","0.323","0.323","0.353",19.4,19.4,17.9,"0.267","0.347","0.306",32
"De La Cruz, Elly",682829,"CIN","SL","Slider",0,0,"138",14.3,"36","0.219","0.406","0.293",35.2,36.1,28.3,"0.21","0.339","0.279",50
"Valdez, Enmanuel",665839,"PIT","FF","4-Seam Fastball",1.2,2,"133",33.8,"36","0.233","0.433","0.353",21.3,16.7,15,"0.307","0.583","0.43",45.8
"Adames, Willy",642715,"SF","SI","Sinker",1.1,2,"152",15.2,"36","0.258","0.387","0.338",20.9,19.4,21.9,"0.205","0.306","0.286",25
"Bogaerts, Xander",593428,"SD","SI","Sinker",-2.4,-4,"165",19.5,"36","0.2","0.2","0.194",12.7,16.7,27.3,"0.278","0.335","0.278",31
"Myers, Dane",667472,"MIA","FF","4-Seam Fastball",0.6,1,"122",35.9,"36","0.294","0.5","0.36",30.9,30.6,28.2,"0.303","0.504","0.363",60.9
"Waters, Drew",671221,"KC","CH","Changeup",-3.3,-3,"100",19.2,"36","0.194","0.278","0.206",42.9,33.3,30.8,"0.204","0.284","0.208",25
"Garver, Mitch",641598,"SEA","FF","4-Seam Fastball",-3.3,-4,"123",28.1,"35","0.156","0.188","0.199",22.4,22.9,20,"0.214","0.419","0.304",54.2
"Perez, Salvador",521692,"KC","SI","Sinker",-2.7,-3,"119",15,"35","0.176","0.324","0.226",17.9,11.4,18.2,"0.336","0.567","0.392",46.7
"Berti, Jon",542932,"CHC","FF","4-Seam Fastball",-1.8,-2,"125",41.3,"35","0.258","0.258","0.321",33.3,22.9,22.9,"0.275","0.368","0.327",43.5
"Williamson, Ben",810938,"SEA","FF","4-Seam Fastball",-1.6,-3,"181",31.3,"35","0.194","0.226","0.244",24.2,34.3,19.4,"0.195","0.32","0.276",52.6
"Betts, Mookie",605141,"LAD","SL","Slider",-1.8,-3,"145",16,"35","0.125","0.344","0.236",32.8,14.3,10.6,"0.227","0.356","0.287",44.4
"Soto, Juan",665742,"NYM","SI","Sinker",-0.5,-1,"175",16.4,"35","0.12","0.16","0.322",16.4,11.4,10.8,"0.167","0.319","0.352",38.1
"Winn, Masyn",691026,"STL","SI","Sinker",2.4,3,"143",17,"35","0.345","0.621","0.46",16.4,22.9,26.7,"0.322","0.535","0.424",52.4
"García Jr., Luis",671277,"WSH","FF","4-Seam Fastball",0.9,1,"162",23.9,"35","0.31","0.552","0.403",20.5,8.6,7.9,"0.326","0.557","0.427",51.9
"Moore, Dylan",664238,"SEA","FF","4-Seam Fastball",0.6,1,"177",30.9,"35","0.154","0.385","0.326",40.9,34.3,20.3,"0.148","0.419","0.334",33.3
"Gurriel Jr., Lourdes",666971,"AZ","SL","Slider",0.7,1,"147",18,"35","0.324","0.559","0.386",29.3,25.7,18.8,"0.253","0.437","0.304",56
"France, Ty",664034,"MIN","SL","Slider",-1,-1,"127",15.4,"35","0.2","0.4","0.253",25.4,20,14.3,"0.321","0.806","0.468",64.3
"Smith, Cam",701358,"HOU","SL","Slider",-2.9,-4,"150",21.7,"35","0.114","0.171","0.123",37.7,45.7,32,"0.148","0.211","0.153",21.1
"Robert Jr., Luis",673357,"CWS","SI","Sinker",0.2,0,"151",19,"35","0.222","0.259","0.387",15.5,8.6,10.3,"0.263","0.352","0.369",58.3
"Hoskins, Rhys",656555,"MIL","SL","Slider",2,3,"160",18.2,"35","0.375","0.438","0.394",36.4,28.6,22.2,"0.262","0.309","0.269",30.4
"Suárez, Eugenio",553993,"AZ","SI","Sinker",0,0,"155",16.4,"35","0.258","0.387","0.353",14.5,11.4,12.1,"0.335","0.595","0.427",59.3
"Goldschmidt, Paul",502671,"NYY","SL","Slider",2.5,4,"151",17.5,"35","0.353","0.559","0.385",23.4,22.9,18.2,"0.376","0.572","0.414",42.3
"Steer, Spencer",668715,"CIN","SI","Sinker",-0.4,-1,"159",19.1,"35","0.242","0.424","0.333",19.2,17.1,17.6,"0.265","0.393","0.306",25.9
"Farmer, Kyle",571657,"COL","SI","Sinker",-1.1,-1,"106",19.3,"35","0.265","0.382","0.291",6.7,2.9,7.7,"0.29","0.384","0.301",33.3
"Muncy, Max",571970,"LAD","SL","Slider",-1.8,-2,"137",15.4,"35","0.129","0.161","0.193",28.8,37.1,27.1,"0.189","0.356","0.284",55.6
"Turner, Justin",457759,"CHC","FF","4-Seam Fastball",-1,-2,"207",49.2,"35","0.207","0.345","0.296",14.1,28.6,12.7,"0.202","0.394","0.316",30
"Yelich, Christian",592885,"MIL","FC","Cutter",-0.8,-1,"136",14.4,"35","0.258","0.452","0.349",24.6,11.4,14.8,"0.276","0.463","0.358",40.7
"O'Hearn, Ryan",656811,"BAL","SI","Sinker",-0.9,-1,"98",13,"35","0.323","0.355","0.347",6.3,11.4,12.9,"0.353","0.439","0.385",51.9
"Burger, Jake",669394,"TEX","SL","Slider",-1.1,-1,"126",20.7,"35","0.206","0.353","0.251",42.9,34.3,27.9,"0.177","0.362","0.24",45.5
"Casas, Triston",671213,"BOS","FF","4-Seam Fastball",1,1,"132",30.2,"35","0.267","0.467","0.369",20,20,20,"0.256","0.479","0.365",52.2
"Pages, Andy",681624,"LAD","SI","Sinker",-1.4,-2,"143",17.2,"34","0.207","0.31","0.274",21.1,23.5,18.2,"0.215","0.398","0.325",54.5
"Doyle, Brenton",686668,"COL","SL","Slider",-1.1,-1,"124",17.2,"34","0.219","0.375","0.259",36.7,32.4,26.8,"0.174","0.304","0.218",45.5
"Arias, Gabriel",672356,"CLE","SL","Slider",-1.9,-3,"133",18.7,"34","0.188","0.25","0.221",47.1,32.4,24.4,"0.186","0.224","0.209",33.3
"Pagés, Pedro",686780,"STL","SI","Sinker",-1.5,-2,"149",27.7,"34","0.2","0.233","0.278",15.9,5.9,10,"0.247","0.354","0.31",39.3
"Manzardo, Kyle",700932,"CLE","SI","Sinker",0.2,0,"100",12.6,"34","0.167","0.533","0.332",20.9,26.5,42.9,"0.192","0.406","0.304",52.4
"Lux, Gavin",666158,"CIN","SI","Sinker",-1.1,-1,"109",13.6,"34","0.241","0.276","0.299",11.9,26.5,26.5,"0.262","0.376","0.335",50
"Espinal, Santiago",669289,"CIN","SL","Slider",-0.2,0,"123",17.5,"34","0.265","0.382","0.279",22.2,11.8,11.4,"0.241","0.316","0.242",30
"Rodgers, Brendan",663898,"HOU","SI","Sinker",-0.3,0,"113",26.9,"34","0.219","0.375","0.332",14.9,17.6,26.1,"0.263","0.46","0.332",42.3
"Tucker, Kyle",663656,"CHC","SL","Slider",-0.5,-1,"140",14.2,"34","0.194","0.452","0.285",18.6,14.7,11.6,"0.254","0.431","0.307",29.6
"Carpenter, Kerry",681481,"DET","CH","Changeup",-1.3,-1,"111",14.5,"34","0.235","0.265","0.249",19.4,17.6,18.8,"0.208","0.286","0.214",25
"Hoerner, Nico",663538,"CHC","SL","Slider",0,0,"151",18.5,"34","0.267","0.367","0.331",17.7,5.9,4.1,"0.296","0.351","0.31",17.2
"Rafaela, Ceddanne",678882,"BOS","SL","Slider",-0.3,0,"119",16.8,"34","0.273","0.394","0.3",28,14.7,12.5,"0.275","0.495","0.336",39.3
"Ortiz, Joey",687401,"MIL","SL","Slider",-1.9,-2,"121",16.5,"34","0.2","0.233","0.238",22.2,14.7,13.5,"0.309","0.381","0.335",34.6
"Mullins, Cedric",656775,"BAL","SI","Sinker",-2.5,-4,"138",15.3,"34","0.167","0.267","0.247",17.2,29.4,26.3,"0.171","0.268","0.248",25
"McNeil, Jeff",643446,"NYM","FF","4-Seam Fastball",1.6,2,"106",30.5,"34","0.29","0.613","0.406",8.3,8.8,8.8,"0.287","0.455","0.353",35.7
"Perdomo, Geraldo",672695,"AZ","SI","Sinker",0.1,0,"114",11.4,"34","0.3","0.433","0.363",12.5,17.6,24,"0.179","0.24","0.242",41.7
"Bader, Harrison",664056,"MIN","SI","Sinker",1.3,2,"123",20.2,"34","0.387","0.419","0.386",4.2,2.9,3.8,"0.305","0.422","0.349",43.3
"Riley, Austin",663586,"ATL","SI","Sinker",3.7,6,"155",15.2,"34","0.355","0.742","0.507",22.2,14.7,15.6,"0.314","0.702","0.45",53.8
"Walker, Christian",572233,"HOU","SL","Slider",-0.9,-1,"160",17.1,"34","0.212","0.242","0.243",36.6,29.4,15.9,"0.276","0.453","0.323",56.5
"Crews, Dylan",686611,"WSH","SL","Slider",-3.2,-4,"124",20,"34","0.097","0.097","0.141",38.2,35.3,32.4,"0.211","0.289","0.26",26.3
"Taylor, Tyrone",621438,"NYM","SI","Sinker",-0.3,0,"113",19.2,"34","0.29","0.452","0.379",5.4,2.9,7.1,"0.315","0.486","0.374",50
"Harper, Bryce",547180,"PHI","CU","Curveball",0.7,1,"138",15.5,"34","0.313","0.438","0.326",45.7,20.6,13.7,"0.286","0.4","0.305",46.2
"Herrera, Iván",671056,"STL","FF","4-Seam Fastball",2.5,3,"127",30.3,"34","0.379","0.552","0.426",8.5,17.6,13,"0.302","0.584","0.401",50
"Moore, Dylan",664238,"SEA","SI","Sinker",1.5,2,"114",19.9,"34","0.375","0.656","0.456",10.3,11.8,25,"0.396","0.684","0.476",39.3
"Robert Jr., Luis",673357,"CWS","CH","Changeup",1.2,1,"109",13.7,"34","0.219","0.406","0.291",39.7,41.2,29.8,"0.244","0.455","0.32",38.9
"Scott II, Victor",687363,"STL","SL","Slider",-1.9,-2,"116",15.4,"34","0.212","0.333","0.235",32.2,38.2,33.3,"0.2","0.297","0.213",23.8
"Toglia, Michael",669911,"COL","CH","Changeup",0.4,0,"128",15.5,"34","0.233","0.367","0.318",48.3,41.2,38.9,"0.2","0.352","0.291",43.8
"Tovar, Ezequiel",678662,"COL","FF","4-Seam Fastball",-1.5,-2,"156",34,"34","0.226","0.355","0.288",23.5,20.6,14.9,"0.304","0.453","0.356",37.5
"Doyle, Brenton",686668,"COL","SI","Sinker",0.5,1,"125",17.4,"34","0.3","0.367","0.368",8.5,17.6,27.3,"0.29","0.484","0.372",50
"Paredes, Isaac",670623,"HOU","SL","Slider",-0.8,-2,"201",18.9,"33","0.161","0.258","0.212",19.2,12.1,6.8,"0.263","0.366","0.297",33.3
"Bohm, Alec",664761,"PHI","SI","Sinker",-1.5,-2,"123",15.3,"33","0.226","0.419","0.308",5.8,6.1,11.1,"0.327","0.545","0.392",65.5
"Call, Alex",669743,"WSH","SI","Sinker",-0.3,0,"127",24.1,"33","0.24","0.28","0.333",11.1,9.1,13,"0.238","0.332","0.345",30.4
"Koss, Christian",683766,"SF","FF","4-Seam Fastball",-1.5,-2,"102",38.9,"33","0.222","0.222","0.306",26.8,24.2,21.1,"0.341","0.655","0.464",30
"Wade, Tyler",642180,"SD","FF","4-Seam Fastball",0.5,1,"115",35.8,"33","0.25","0.292","0.373",14.5,12.1,13.8,"0.239","0.317","0.344",27.3
"Schwarber, Kyle",656941,"PHI","SI","Sinker",4.4,6,"145",13.2,"33","0.32","0.88","0.542",8,9.1,10.3,"0.324","0.864","0.54",68.2
"Devers, Rafael",646240,"BOS","SL","Slider",4,5,"124",10.7,"33","0.296","0.667","0.483",25.4,18.2,10.7,"0.338","0.646","0.466",47.6
"Story, Trevor",596115,"BOS","SI","Sinker",-3.5,-4,"129",14.3,"33","0.226","0.226","0.219",17.2,12.1,25,"0.322","0.442","0.342",64.3
"Kirk, Alejandro",672386,"TOR","SL","Slider",0.3,0,"132",19.4,"33","0.267","0.3","0.292",23.3,15.2,11.4,"0.255","0.348","0.301",44
"Sosa, Lenyn",672820,"CWS","SI","Sinker",-2.3,-2,"107",15.9,"33","0.267","0.3","0.32",8.6,9.1,12.5,"0.313","0.447","0.36",59.3
"Holliday, Jackson",702616,"BAL","SI","Sinker",2.1,2,"110",15.2,"33","0.296","0.407","0.405",16.3,24.2,25.8,"0.242","0.351","0.336",52.6
"Kelly, Carson",608348,"CHC","FF","4-Seam Fastball",2.1,3,"131",22.9,"33","0.24","0.72","0.445",17.7,21.2,15.9,"0.22","0.458","0.364",47.4
"Torrens, Luis",620443,"NYM","FF","4-Seam Fastball",-0.5,-1,"135",31.1,"33","0.3","0.4","0.341",16.4,21.2,17.9,"0.331","0.566","0.411",56.5
"Sheets, Gavin",657757,"SD","SL","Slider",-2.7,-4,"135",17.6,"33","0.129","0.258","0.174",32.9,30.3,22.2,"0.251","0.428","0.294",50
"Giménez, Andrés",665926,"TOR","FF","4-Seam Fastball",-0.1,0,"183",33.3,"33","0.172","0.414","0.298",25.6,24.2,13.8,"0.208","0.391","0.308",33.3
"Cruz, Oneil",665833,"PIT","CU","Curveball",-3.7,-5,"138",16.1,"33","0.063","0.063","0.076",50,60.6,37.7,"0.079","0.113","0.101",41.7
"Bleday, JJ",668709,"ATH","CH","Changeup",-3.6,-5,"133",19.1,"33","0.065","0.065","0.097",45.6,33.3,28.2,"0.141","0.202","0.181",35
"Mountcastle, Ryan",663624,"BAL","SL","Slider",1.2,2,"131",17.1,"33","0.313","0.531","0.397",32.5,15.2,12.2,"0.328","0.521","0.373",37
"Walls, Taylor",670764,"TB","SI","Sinker",-3,-3,"102",17.1,"33","0.143","0.143","0.242",10,6.1,9.1,"0.277","0.339","0.333",23.1
"Kepler, Max",596146,"PHI","SL","Slider",-0.8,-1,"117",15.6,"33","0.167","0.333","0.255",32.8,33.3,30.6,"0.203","0.323","0.268",42.1
"Arraez, Luis",650333,"SD","SL","Slider",-0.3,0,"104",13.6,"33","0.258","0.452","0.324",5.6,0,0,"0.241","0.318","0.254",12.5
"Shaw, Matt",807713,"CHC","FF","4-Seam Fastball",-2.4,-3,"131",30.5,"33","0.1","0.233","0.217",23.3,24.2,15.4,"0.197","0.321","0.265",36.4
"Kirk, Alejandro",672386,"TOR","SI","Sinker",-3.8,-5,"125",18.4,"33","0.226","0.226","0.233",9.4,6.1,10.5,"0.288","0.39","0.317",65.5
"Sosa, Lenyn",672820,"CWS","SL","Slider",1,1,"109",16.1,"33","0.3","0.5","0.364",37.1,27.3,27.3,"0.29","0.45","0.341",36.4
"Moreno, Gabriel",672515,"AZ","SI","Sinker",0.1,0,"110",16.2,"33","0.31","0.379","0.379",11.1,15.2,23.8,"0.304","0.353","0.336",50
"Young, Jacob",696285,"WSH","SI","Sinker",-2.2,-2,"94",20.8,"33","0.321","0.429","0.363",5,3,8.3,"0.327","0.382","0.348",34.5
"Riley, Austin",663586,"ATL","SL","Slider",-0.6,-1,"156",15.3,"33","0.273","0.364","0.279",33.8,21.2,12.7,"0.313","0.535","0.36",61.5
"Reynolds, Bryan",668804,"PIT","SL","Slider",-1.6,-2,"141",14.5,"32","0.161","0.387","0.22",37.5,40.6,27.1,"0.273","0.608","0.359",57.9
"Adell, Jo",666176,"LAA","SI","Sinker",-3.5,-4,"112",18.9,"32","0.2","0.2","0.213",14.1,9.4,20,"0.287","0.367","0.31",59.3
"Lee, Jung Hoo",808982,"SF","SI","Sinker",0.7,1,"130",14.3,"32","0.379","0.586","0.442",16.1,9.4,10,"0.26","0.338","0.299",34.6
"Frazier, Adam",624428,"PIT","SL","Slider",-1.8,-2,"103",14.2,"32","0.2","0.3","0.247",22.2,25,18.2,"0.228","0.301","0.256",22.7
"Díaz, Yandy",650490,"TB","SL","Slider",0.4,1,"130",15,"32","0.267","0.4","0.341",19.3,12.5,11.4,"0.304","0.475","0.356",61.5
"Tawa, Tim",694374,"AZ","SL","Slider",-4.3,-4,"92",21.7,"32","0.129","0.226","0.169",42.9,40.6,35.1,"0.179","0.287","0.215",22.2
"Olson, Matt",621566,"ATL","CH","Changeup",1.9,2,"96",8.8,"32","0.3","0.433","0.342",23.7,15.6,15.6,"0.266","0.502","0.348",52
"Domínguez, Jasson",691176,"NYY","CH","Changeup",2.2,2,"105",14.5,"32","0.286","0.429","0.336",27.6,12.5,11.4,"0.299","0.55","0.386",40
"Fitzgerald, Tyler",666149,"SF","SL","Slider",0.1,0,"102",21,"32","0.214","0.357","0.3",36.5,21.9,18.9,"0.19","0.281","0.266",9.5
"Torres, Gleyber",650402,"DET","SL","Slider",-1.2,-1,"129",16.3,"32","0.179","0.286","0.261",19.6,12.5,10.3,"0.198","0.312","0.276",20.8
"Iglesias, Jose",578428,"SD","FF","4-Seam Fastball",-1.9,-3,"168",37.1,"32","0.214","0.286","0.25",12.7,15.6,10.4,"0.224","0.263","0.245",16
"Raleigh, Cal",663728,"SEA","CH","Changeup",0.9,1,"156",15,"32","0.241","0.448","0.308",40,21.9,14,"0.236","0.427","0.313",34.8
"Witt Jr., Bobby",677951,"KC","SI","Sinker",0.3,0,"110",12.1,"32","0.286","0.571","0.394",15.4,9.4,14.3,"0.345","0.583","0.45",69.2
"Winn, Masyn",691026,"STL","SL","Slider",0.4,1,"142",16.9,"32","0.29","0.387","0.308",17.2,12.5,7.8,"0.366","0.471","0.374",37
"Sweeney, Trey",700242,"DET","CH","Changeup",0.8,1,"93",13.1,"32","0.29","0.323","0.314",26.4,15.6,14.3,"0.247","0.361","0.276",26.9
"Schwarber, Kyle",656941,"PHI","CH","Changeup",2.3,3,"113",10.3,"32","0.286","0.571","0.403",26.7,21.9,23.3,"0.301","0.629","0.43",47.6
"Kwan, Steven",680757,"CLE","SL","Slider",-1.5,-2,"108",11.1,"32","0.219","0.281","0.219",9.6,9.4,7.3,"0.266","0.386","0.28",37.9
"Marte, Starling",516782,"NYM","FF","4-Seam Fastball",-0.2,0,"127",31.1,"32","0.286","0.321","0.323",6.3,12.5,9.5,"0.235","0.282","0.285",33.3
"Ramírez, José",608070,"CLE","SI","Sinker",6.4,7,"103",11.7,"32","0.333","0.8","0.513",7.7,3.1,4.3,"0.328","0.576","0.402",51.7
"Hill, Derek",656537,"MIA","FF","4-Seam Fastball",-1.6,-2,"122",36.3,"32","0.214","0.321","0.277",29,31.3,24.4,"0.239","0.351","0.298",57.9
"Reynolds, Bryan",668804,"PIT","CH","Changeup",0.6,1,"153",15.7,"32","0.25","0.321","0.306",22,3.1,3.3,"0.163","0.194","0.223",11.1
"Flores, Wilmer",527038,"SF","SL","Slider",-0.1,0,"152",16.5,"32","0.226","0.323","0.281",27,25,13.8,"0.259","0.306","0.26",17.4
"Vázquez, Christian",543877,"MIN","FF","4-Seam Fastball",-0.7,-1,"112",30.6,"31","0.192","0.192","0.316",15.8,19.4,17.6,"0.247","0.298","0.311",20
"Castellanos, Nick",592206,"PHI","SI","Sinker",2.3,2,"100",11.4,"31","0.407","0.556","0.472",3.8,6.5,11.1,"0.381","0.518","0.43",48
"Andujar, Miguel",609280,"ATH","SL","Slider",-0.4,0,"113",18.8,"31","0.3","0.4","0.319",25.9,25.8,25.8,"0.243","0.295","0.25",27.3
"Pham, Tommy",502054,"PIT","SI","Sinker",-0.5,-1,"122",19.6,"31","0.25","0.286","0.322",13,16.1,17.2,"0.241","0.283","0.277",52.2
"Pauley, Graham",688363,"MIA","FF","4-Seam Fastball",-2.5,-3,"119",36.3,"31","0.192","0.269","0.243",27.7,22.6,21.2,"0.238","0.443","0.359",52.4
"Morel, Christopher",666624,"TB","SI","Sinker",-2.7,-3,"93",17.2,"31","0.214","0.25","0.253",27.7,32.3,41.7,"0.201","0.335","0.273",44.4
"Nimmo, Brandon",607043,"NYM","SI","Sinker",2.1,3,"121",14.2,"31","0.393","0.571","0.445",10.7,9.7,8.1,"0.338","0.529","0.402",64
"Dingler, Dillon",693307,"DET","SI","Sinker",4.9,5,"107",17.8,"31","0.517","0.759","0.561",9.4,6.5,8.7,"0.416","0.631","0.464",44.4
"Bellinger, Cody",641355,"NYY","SL","Slider",-2.2,-3,"139",15.4,"31","0.133","0.267","0.162",30.6,22.6,17.5,"0.199","0.443","0.282",52.2
"Manzardo, Kyle",700932,"CLE","CH","Changeup",1.8,2,"130",16.4,"31","0.357","0.536","0.416",29.2,19.4,15.8,"0.232","0.381","0.304",40.9
"Burger, Jake",669394,"TEX","SI","Sinker",-1.5,-2,"102",16.8,"31","0.276","0.414","0.324",10.7,9.7,14.3,"0.343","0.512","0.386",61.5
"Higashioka, Kyle",543309,"TEX","FF","4-Seam Fastball",-1.4,-2,"115",32.7,"31","0.258","0.419","0.29",7.4,16.1,16.1,"0.283","0.491","0.328",42.3
"Rutschman, Adley",668939,"BAL","SL","Slider",-0.8,-1,"105",12.1,"31","0.2","0.2","0.281",22,25.8,21.6,"0.234","0.32","0.328",17.6
"Hays, Austin",669720,"CIN","SL","Slider",-0.9,-1,"95",20.2,"31","0.222","0.407","0.3",41.8,25.8,29.6,"0.171","0.361","0.267",35
"Cruz, Oneil",665833,"PIT","SL","Slider",2.5,3,"133",15.5,"31","0.231","0.692","0.429",45.8,29,23.7,"0.235","0.646","0.418",47.1
"Vientos, Mark",668901,"NYM","ST","Sweeper",-1.6,-2,"112",14.4,"31","0.241","0.241","0.226",28.1,32.3,24.4,"0.257","0.395","0.284",55
"Canario, Alexander",672744,"PIT","FF","4-Seam Fastball",0.8,1,"111",25.6,"31","0.231","0.5","0.398",32.3,19.4,17.6,"0.26","0.534","0.392",60
"Crow-Armstrong, Pete",691718,"CHC","CH","Changeup",2.9,3,"99",11.5,"31","0.323","0.548","0.4",18,6.5,6.1,"0.406","0.71","0.473",48.3
"Stowers, Kyle",669065,"MIA","CH","Changeup",0,0,"95",11.7,"31","0.29","0.387","0.297",38.7,22.6,20,"0.263","0.445","0.301",45.8
"Soderstrom, Tyler",691016,"ATH","CU","Curveball",0.3,0,"95",10.8,"31","0.185","0.407","0.284",51,48.4,45.5,"0.215","0.459","0.318",61.5
"White, Eli",642201,"ATL","FF","4-Seam Fastball",4.2,5,"131",26.1,"31","0.5","0.786","0.594",21.5,25.8,18.6,"0.374","0.536","0.422",55
"Conforto, Michael",624424,"LAD","CH","Changeup",-1.3,-1,"110",13.4,"31","0.143","0.25","0.218",30.2,22.6,17.1,"0.223","0.384","0.301",47.6
"Bart, Joey",663698,"PIT","SL","Slider",-3.7,-5,"134",19.5,"31","0.133","0.133","0.139",38.1,29,26.5,"0.174","0.346","0.236",57.1
"Winker, Jesse",608385,"NYM","FF","4-Seam Fastball",-0.3,0,"107",34.9,"31","0.192","0.462","0.339",22.8,19.4,17.1,"0.209","0.479","0.353",45
"Verdugo, Alex",657077,"ATL","SI","Sinker",0.2,0,"110",19.1,"31","0.296","0.407","0.356",7.3,6.5,8.7,"0.33","0.432","0.378",64
"Greene, Riley",682985,"DET","CH","Changeup",0.7,1,"137",14.1,"31","0.3","0.4","0.318",34.3,22.6,16.7,"0.267","0.39","0.293",60.9
"Cruz, Oneil",665833,"PIT","SI","Sinker",1.9,2,"128",14.9,"31","0.308","0.5","0.403",20.5,25.8,22.9,"0.248","0.42","0.352",50
"Lindor, Francisco",596019,"NYM","SI","Sinker",1.2,1,"104",10,"31","0.385","0.462","0.403",17.3,12.9,21.1,"0.33","0.382","0.357",47.8
"Kelenic, Jarred",672284,"ATL","FF","4-Seam Fastball",-4.9,-5,"103",39.9,"31","0.107","0.179","0.177",44.4,32.3,32.3,"0.185","0.496","0.323",38.9
"Kiner-Falefa, Isiah",643396,"PIT","SL","Slider",-0.1,0,"117",18.8,"31","0.258","0.29","0.302",16.7,9.7,9.4,"0.213","0.243","0.199",21.4
"Williamson, Ben",810938,"SEA","SL","Slider",-5.3,-5,"93",16.1,"31","0.1","0.1","0.11",30.6,32.3,24.4,"0.193","0.291","0.223",40
"Walker, Jordan",691023,"STL","SL","Slider",-1.9,-2,"122",17.4,"31","0.111","0.148","0.218",42.6,35.5,21.2,"0.14","0.185","0.213",50
"Olson, Matt",621566,"ATL","SL","Slider",1.3,2,"175",16.1,"31","0.267","0.433","0.313",28.7,25.8,12.7,"0.307","0.659","0.415",59.1
"Smith, Will",669257,"LAD","SL","Slider",4.6,6,"137",17.7,"31","0.429","0.667","0.523",22,22.6,24.1,"0.271","0.433","0.408",46.7
"Soderstrom, Tyler",691016,"ATH","SL","Slider",1.8,2,"129",14.6,"31","0.241","0.483","0.331",36.2,25.8,21.6,"0.283","0.58","0.384",38.1
"Arraez, Luis",650333,"SD","SI","Sinker",-2.3,-2,"92",12,"30","0.214","0.25","0.222",2,0,0,"0.301","0.361","0.301",6.9
"Urías, Luis",649966,"ATH","SL","Slider",4.2,4,"96",15.7,"30","0.28","0.56","0.442",18.6,16.7,14.7,"0.259","0.508","0.387",30
"Urshela, Gio",570482,"ATH","FF","4-Seam Fastball",1.2,1,"121",31.2,"30","0.296","0.519","0.369",20.9,13.3,10.5,"0.287","0.466","0.347",33.3
"Riley, Austin",663586,"ATL","ST","Sweeper",2.7,3,"97",9.5,"30","0.345","0.621","0.42",28.8,33.3,25,"0.292","0.69","0.419",52.6
"Gurriel Jr., Lourdes",666971,"AZ","SI","Sinker",1,1,"123",15.1,"30","0.333","0.567","0.383",0,0,0,"0.39","0.639","0.438",56.7
"Crow-Armstrong, Pete",691718,"CHC","CU","Curveball",-1.3,-1,"91",10.6,"30","0.214","0.464","0.272",35.7,33.3,40,"0.167","0.258","0.178",15
"Tucker, Kyle",663656,"CHC","SI","Sinker",4.3,4,"92",9.3,"30","0.444","0.778","0.538",11.1,6.7,18.2,"0.407","0.737","0.505",64
"Tucker, Kyle",663656,"CHC","FC","Cutter",-1.8,-2,"105",10.6,"30","0.2","0.24","0.308",26.4,23.3,26.9,"0.261","0.33","0.33",33.3
"Friedl, TJ",670770,"CIN","SL","Slider",2.4,3,"108",11.6,"30","0.308","0.423","0.368",31.7,33.3,24.4,"0.215","0.265","0.273",31.3
